timeStamp,elapsed,label,responseCode,reponseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.61E+12,251,"Admin, General Information",200,OK,Users 1-45,text,TRUE,,39447,350,7,7,https://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,6,0,0
1.61E+12,6,"Admin, General Information-0",301,Moved Permanently,Users 1-45,text,TRUE,,663,175,7,7,http://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,6,0,0
1.61E+12,245,"Admin, General Information-1",200,OK,Users 1-45,text,TRUE,,38784,175,7,7,https://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,239,0,0
1.61E+12,246,Employee List,200,OK,Users 1-43,text,TRUE,,39423,326,7,7,https://qa.cilsy.id/symfony/web/index.php/pim/viewEmployeeList/reset/1,6,0,0
1.61E+12,6,Employee List-0,301,Moved Permanently,Users 1-43,text,TRUE,,639,163,7,7,http://qa.cilsy.id/symfony/web/index.php/pim/viewEmployeeList/reset/1,6,0,0
1.61E+12,239,Employee List-1,200,OK,Users 1-43,text,TRUE,,38784,163,7,7,https://qa.cilsy.id/symfony/web/index.php/pim/viewEmployeeList/reset/1,233,0,0
1.61E+12,238,Employee List,200,OK,Users 1-44,text,TRUE,,39423,326,6,6,https://qa.cilsy.id/symfony/web/index.php/pim/viewEmployeeList/reset/1,4,0,0
1.61E+12,4,Employee List-0,301,Moved Permanently,Users 1-44,text,TRUE,,639,163,6,6,http://qa.cilsy.id/symfony/web/index.php/pim/viewEmployeeList/reset/1,4,0,0
1.61E+12,233,Employee List-1,200,OK,Users 1-44,text,TRUE,,38784,163,6,6,https://qa.cilsy.id/symfony/web/index.php/pim/viewEmployeeList/reset/1,232,0,0
1.61E+12,251,"Attendance, Employee Record",200,OK,Users 1-45,text,TRUE,,39429,332,5,5,https://qa.cilsy.id/symfony/web/index.php/attendance/viewAttendanceRecord,9,0,0
1.61E+12,9,"Attendance, Employee Record-0",301,Moved Permanently,Users 1-45,text,TRUE,,645,166,5,5,http://qa.cilsy.id/symfony/web/index.php/attendance/viewAttendanceRecord,9,0,0
1.61E+12,242,"Attendance, Employee Record-1",200,OK,Users 1-45,text,TRUE,,38784,166,5,5,https://qa.cilsy.id/symfony/web/index.php/attendance/viewAttendanceRecord,237,0,0
1.61E+12,1534,"Attendance, Employee Record",200,OK,Users 1-42,text,TRUE,,39429,332,6,6,https://qa.cilsy.id/symfony/web/index.php/attendance/viewAttendanceRecord,1005,0,0
1.61E+12,1005,"Attendance, Employee Record-0",301,Moved Permanently,Users 1-42,text,TRUE,,645,166,6,6,http://qa.cilsy.id/symfony/web/index.php/attendance/viewAttendanceRecord,1005,0,0
1.61E+12,528,"Attendance, Employee Record-1",200,OK,Users 1-42,text,TRUE,,38784,166,6,6,https://qa.cilsy.id/symfony/web/index.php/attendance/viewAttendanceRecord,273,0,0
1.61E+12,247,Employee List,200,OK,Users 1-45,text,TRUE,,39423,326,6,6,https://qa.cilsy.id/symfony/web/index.php/pim/viewEmployeeList/reset/1,5,0,0
1.61E+12,5,Employee List-0,301,Moved Permanently,Users 1-45,text,TRUE,,639,163,6,6,http://qa.cilsy.id/symfony/web/index.php/pim/viewEmployeeList/reset/1,5,0,0
1.61E+12,242,Employee List-1,200,OK,Users 1-45,text,TRUE,,38784,163,6,6,https://qa.cilsy.id/symfony/web/index.php/pim/viewEmployeeList/reset/1,236,0,0
1.61E+12,282,Employee List,200,OK,Users 1-42,text,TRUE,,39423,326,5,5,https://qa.cilsy.id/symfony/web/index.php/pim/viewEmployeeList/reset/1,4,0,0
1.61E+12,4,Employee List-0,301,Moved Permanently,Users 1-42,text,TRUE,,639,163,5,5,http://qa.cilsy.id/symfony/web/index.php/pim/viewEmployeeList/reset/1,4,0,0
1.61E+12,278,Employee List-1,200,OK,Users 1-42,text,TRUE,,38784,163,5,5,https://qa.cilsy.id/symfony/web/index.php/pim/viewEmployeeList/reset/1,270,0,0
1.61E+12,2105,Login page,200,OK,Users 1-46,text,TRUE,,39366,268,5,5,https://qa.cilsy.id/symfony/web/index.php,1009,0,4
1.61E+12,1009,Login page-0,301,Moved Permanently,Users 1-46,text,TRUE,,581,134,5,5,http://qa.cilsy.id/symfony/web/index.php,1009,0,4
